n,n_eff,method,regime,coverage,avg_len,count,mcse
250,200,Fixed-V,high,0.9979253112033195,1.549487580761404,482,0.0020725355124504114
250,200,Fixed-V,low,0.8938223938223938,1.549487580761404,518,0.013535590303809642
250,200,Regime-Fixed,high,0.9626556016597511,1.1173513846259782,482,0.008636239655044587
250,200,Regime-Fixed,low,0.9382239382239382,1.885032999483581,518,0.01057787630475653
250,200,SN,high,0.9605809128630706,1.1192884475326985,482,0.00886332631309532
250,200,SN,low,0.9498069498069498,1.865049358353323,518,0.009593444905011878
500,450,Fixed-V,high,0.9939393939393939,1.0329917205076027,495,0.003488473115323064
500,450,Fixed-V,low,0.8851485148514852,1.0329917205076027,505,0.014188310731069322
500,450,Regime-Fixed,high,0.9616161616161616,0.7449009230839854,495,0.008635201545232831
500,450,Regime-Fixed,low,0.9386138613861386,1.2566886663223873,505,0.010681517357996969
500,450,SN,high,0.9656565656565657,0.7436884182044581,495,0.00818522478430255
500,450,SN,low,0.9485148514851485,1.2542851498542402,505,0.009833709250243631
1000,950,Fixed-V,high,0.9853556485355649,0.7109536609273975,478,0.005494366539534439
1000,950,Fixed-V,low,0.8946360153256705,0.7109536609273975,522,0.013437981242055433
1000,950,Regime-Fixed,high,0.9497907949790795,0.5126759757905142,478,0.009988302860948123
1000,950,Regime-Fixed,low,0.946360153256705,0.864912457893504,522,0.009861358231881247
1000,950,SN,high,0.9518828451882845,0.5126804543057784,478,0.009788762046062672
1000,950,SN,low,0.9444444444444444,0.8632078296040027,522,0.010025746148216849
2000,1950,Fixed-V,high,0.9961240310077519,0.49623317130246886,516,0.002735407320766384
2000,1950,Fixed-V,low,0.8946280991735537,0.49623317130246886,484,0.01395600105990339
2000,1950,Regime-Fixed,high,0.9457364341085271,0.3578388287434313,516,0.009972737188526714
2000,1950,Regime-Fixed,low,0.9359504132231405,0.6036937081379431,484,0.011129147681696861
2000,1950,SN,high,0.9496124031007752,0.3577674775800879,516,0.009629642440046837
2000,1950,SN,low,0.9421487603305785,0.6030271373566151,484,0.010611906004376812
5000,4950,Fixed-V,high,0.9939024390243902,0.3114587225879446,492,0.003509679045664169
5000,4950,Fixed-V,low,0.889763779527559,0.3114587225879446,508,0.013895291516039993
5000,4950,Regime-Fixed,high,0.9634146341463414,0.22459607889626967,492,0.008464041210667581
5000,4950,Regime-Fixed,low,0.9566929133858267,0.3789058894984994,508,0.00903095974869835
5000,4950,SN,high,0.9654471544715447,0.2246059909518034,492,0.008234241712135115
5000,4950,SN,low,0.952755905511811,0.3784785256106889,508,0.00941310131813906
