n,n_eff,policy,method,coverage,avg_len,bias,n_rep,mcse
250,150,eps-greedy,Naive-iid-DML,0.944,1.8832750582229092,0.018855649733941566,1000,0.007270763371201131
250,150,eps-greedy,SN-AIPW,0.944,1.905635283624319,0.019263310479412984,1000,0.007270763371201131
250,150,eps-greedy,SN-IPW,0.934,2.083194819419607,0.0032836134657501736,1000,0.007851369307324675
250,150,eps-greedy,SN-IPW-Assume0p5,0.433,1.295614169322349,0.7027385646992353,1000,0.015668790636165893
250,150,eps-greedy,SN-Oracle,0.946,1.5161445477400837,0.009289719429258221,1000,0.0071473071852271785
250,150,softmax,Naive-iid-DML,0.94,1.9337940659492638,0.012639925866885043,1000,0.007509993342207438
250,150,softmax,SN-AIPW,0.948,1.9527260653920457,0.012014613309103618,1000,0.007021111023192843
250,150,softmax,SN-IPW,0.916,2.1146377835012955,0.002138164604592886,1000,0.008771772910877251
250,150,softmax,SN-IPW-Assume0p5,0.395,1.2976602869276892,0.7306481875827886,1000,0.015458816254810716
250,150,softmax,SN-Oracle,0.953,1.5091628436112485,-0.002687959651016251,1000,0.00669260786241059
500,400,eps-greedy,Naive-iid-DML,0.943,1.1657104695361198,-0.014322209774397944,1000,0.007331507348424336
500,400,eps-greedy,SN-AIPW,0.939,1.1741410730980977,-0.011708267556596251,1000,0.007568289106528638
500,400,eps-greedy,SN-IPW,0.951,1.3039391753515603,-0.016678684843379785,1000,0.006826346021115546
500,400,eps-greedy,SN-IPW-Assume0p5,0.064,0.795149042049215,0.8690240428120853,1000,0.007739767438366608
500,400,eps-greedy,SN-Oracle,0.95,0.9400734180823153,-0.008441338333126307,1000,0.006892024376045114
500,400,softmax,Naive-iid-DML,0.959,1.249730295719788,0.006438772882313323,1000,0.006270486424512857
500,400,softmax,SN-AIPW,0.958,1.255447332404642,0.0024302755346827555,1000,0.006343185319695463
500,400,softmax,SN-IPW,0.947,1.3384987108707234,0.004321438367205615,1000,0.007084560677981384
500,400,softmax,SN-IPW-Assume0p5,0.088,0.7947294324889189,0.8396466977662238,1000,0.008958571314668427
500,400,softmax,SN-Oracle,0.96,0.9371404659187447,0.003824898002949735,1000,0.00619677335393187
1000,900,eps-greedy,Naive-iid-DML,0.95,0.7862513622979276,-0.006094136874324896,1000,0.006892024376045114
1000,900,eps-greedy,SN-AIPW,0.954,0.7835169870492391,-0.00589979988516816,1000,0.006624499981130654
1000,900,eps-greedy,SN-IPW,0.947,0.8636965927978163,-0.0027206224249371742,1000,0.007084560677981384
1000,900,eps-greedy,SN-IPW-Assume0p5,0.005,0.5276626640115647,0.9429500529552247,1000,0.0022304708023195463
1000,900,eps-greedy,SN-Oracle,0.948,0.6286690221869861,0.0030795255224404204,1000,0.007021111023192843
1000,900,softmax,Naive-iid-DML,0.95,0.896075440654996,-0.00795164371790754,1000,0.006892024376045114
1000,900,softmax,SN-AIPW,0.958,0.8805552550017361,-0.01063751994495109,1000,0.006343185319695463
1000,900,softmax,SN-IPW,0.947,0.9188951322101206,0.0029053484979596486,1000,0.007084560677981384
1000,900,softmax,SN-IPW-Assume0p5,0.009,0.5299469080705845,0.9302311390152228,1000,0.002986469487538756
1000,900,softmax,SN-Oracle,0.952,0.6374059960666268,-0.0054991074992591866,1000,0.006759881655768837
2000,1900,eps-greedy,Naive-iid-DML,0.948,0.5484487850788059,0.0012010541092814576,1000,0.007021111023192843
2000,1900,eps-greedy,SN-AIPW,0.955,0.5427525946141112,0.0009421337564090996,1000,0.00655553201502365
2000,1900,eps-greedy,SN-IPW,0.952,0.5964204475732388,-0.002803886429076358,1000,0.006759881655768837
2000,1900,eps-greedy,SN-IPW-Assume0p5,0.001,0.3632879199734867,0.9789279989116061,1000,0.0009994998749374609
2000,1900,eps-greedy,SN-Oracle,0.953,0.43295361184396736,0.0007552025578306044,1000,0.00669260786241059
2000,1900,softmax,Naive-iid-DML,0.954,0.654075655254299,0.0007639153010992338,1000,0.006624499981130654
2000,1900,softmax,SN-AIPW,0.951,0.6357968907690484,0.0006795042407109631,1000,0.006826346021115546
2000,1900,softmax,SN-IPW,0.935,0.6508484473017885,0.005869997790823588,1000,0.0077958322198467015
2000,1900,softmax,SN-IPW-Assume0p5,0.004,0.3645239966248671,0.9815228448742533,1000,0.001995995991979944
2000,1900,softmax,SN-Oracle,0.957,0.4523126322043695,0.007081686805227144,1000,0.006414904519944161
5000,4900,eps-greedy,Naive-iid-DML,0.954,0.3466777580119648,0.0007088281482481105,1000,0.006624499981130654
5000,4900,eps-greedy,SN-AIPW,0.955,0.3424543691366582,0.00047997167179200906,1000,0.00655553201502365
5000,4900,eps-greedy,SN-IPW,0.955,0.3722693815840426,-0.0020572588991236034,1000,0.00655553201502365
5000,4900,eps-greedy,SN-IPW-Assume0p5,0.003,0.22635713142395825,0.9842124684508716,1000,0.001729450779872038
5000,4900,eps-greedy,SN-Oracle,0.958,0.27058061834097313,-0.0005838968752738222,1000,0.006343185319695463
5000,4900,softmax,Naive-iid-DML,0.952,0.4345824385916868,0.005383729866552717,1000,0.006759881655768837
5000,4900,softmax,SN-AIPW,0.954,0.4211126524599673,0.005164674087400666,1000,0.006624499981130654
5000,4900,softmax,SN-IPW,0.944,0.4166618770540901,0.00943430796445495,1000,0.007270763371201131
5000,4900,softmax,SN-IPW-Assume0p5,0.001,0.22687290670825816,1.0153594342844408,1000,0.0009994998749374609
5000,4900,softmax,SN-Oracle,0.954,0.2899999899065444,0.0011780747453534015,1000,0.006624499981130654
